Sector,Basis,Component,Measure,Units,Year,Qtr,Value
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1967,3,3.455
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1967,3,2.431
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1967,3,3.939
"Total economy","All workers",Farm,Employment,"Millions of jobs",1967,3,4.236
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1967,3,58.218
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1967,3,50.594
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1967,3,1.353
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1967,3,0.879
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1967,3,0.474
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1967,3,0.409
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1967,3,5.862
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1967,4,156.987
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1967,4,19.056
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1967,4,4.148
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1967,4,14.909
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1967,4,6.36
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1967,4,2.051
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1967,4,7.157
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1967,4,7.329
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1967,4,115.034
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1967,4,100.282
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1967,4,2.386
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1967,4,1.493
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1967,4,0.894
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1967,4,0.79
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1967,4,11.576
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1967,4,83.122
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1967,4,10.348
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1967,4,2.009
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1967,4,8.339
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1967,4,3.467
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1967,4,2.429
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1967,4,4.004
"Total economy","All workers",Farm,Employment,"Millions of jobs",1967,4,4.364
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1967,4,58.51
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1967,4,50.969
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1967,4,1.342
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1967,4,0.865
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1967,4,0.478
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1967,4,0.416
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1967,4,5.782
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1968,1,157.293
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1968,1,19.229
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1968,1,4.1
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1968,1,15.129
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1968,1,6.364
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1968,1,1.962
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1968,1,7.263
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1968,1,7.235
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1968,1,115.241
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1968,1,100.499
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1968,1,2.423
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1968,1,1.519
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1968,1,0.904
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1968,1,0.833
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1968,1,11.486
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1968,1,83.469
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1968,1,10.454
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1968,1,1.984
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1968,1,8.469
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1968,1,3.474
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1968,1,2.398
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1968,1,4.074
"Total economy","All workers",Farm,Employment,"Millions of jobs",1968,1,4.256
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1968,1,58.813
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1968,1,51.266
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1968,1,1.365
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1968,1,0.881
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1968,1,0.484
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1968,1,0.432
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1968,1,5.751
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1968,2,158.595
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1968,2,19.29
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1968,2,4.088
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1968,2,15.202
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1968,2,6.445
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1968,2,2.115
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1968,2,7.323
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1968,2,7.079
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1968,2,116.343
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1968,2,101.426
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1968,2,2.441
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1968,2,1.525
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1968,2,0.916
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1968,2,0.78
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1968,2,11.696
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1968,2,84.183
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1968,2,10.549
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1968,2,1.993
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1968,2,8.556
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1968,2,3.536
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1968,2,2.553
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1968,2,4.123
"Total economy","All workers",Farm,Employment,"Millions of jobs",1968,2,4.153
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1968,2,59.268
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1968,2,51.713
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1968,2,1.374
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1968,2,0.883
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1968,2,0.491
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1968,2,0.408
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1968,2,5.773
